Dec 15 17:18:22 	1.068GiB / 1.952GiB	54.69%	156.90%
Dec 15 17:18:24 	1.104GiB / 1.952GiB	56.54%	191.76%
Dec 15 17:18:26 	1.127GiB / 1.952GiB	57.72%	215.42%
Dec 15 17:18:28 	1.142GiB / 1.952GiB	58.53%	120.57%
Dec 15 17:18:31 	1.143GiB / 1.952GiB	58.55%	8.49%
Dec 15 17:18:33 	1.116GiB / 1.952GiB	57.17%	4.77%
Dec 15 17:18:35 	1.116GiB / 1.952GiB	57.17%	2.01%
Dec 15 17:18:37 	1.12GiB / 1.952GiB	57.39%	100.08%
Dec 15 17:18:39 	1.154GiB / 1.952GiB	59.11%	27.49%
Dec 15 17:18:41 	1.159GiB / 1.952GiB	59.36%	38.68%
Dec 15 17:18:43 	1.166GiB / 1.952GiB	59.72%	49.86%
Dec 15 17:18:45 	1.178GiB / 1.952GiB	60.33%	190.20%
Dec 15 17:18:47 	1.176GiB / 1.952GiB	60.27%	201.08%
Dec 15 17:18:50 	1.176GiB / 1.952GiB	60.25%	193.96%
Dec 15 17:18:52 	1.17GiB / 1.952GiB	59.92%	168.29%
Dec 15 17:18:54 	1.181GiB / 1.952GiB	60.49%	220.96%
Dec 15 17:18:56 	1.189GiB / 1.952GiB	60.92%	183.94%
Dec 15 17:18:58 	1.203GiB / 1.952GiB	61.65%	255.14%
Dec 15 17:19:00 	1.202GiB / 1.952GiB	61.59%	229.60%
Dec 15 17:19:02 	1.172GiB / 1.952GiB	60.04%	182.04%
Dec 15 17:19:04 	1.173GiB / 1.952GiB	60.09%	198.26%
Dec 15 17:19:07 	1.172GiB / 1.952GiB	60.05%	262.11%
Dec 15 17:19:09 	1.192GiB / 1.952GiB	61.08%	237.14%
Dec 15 17:19:11 	1.19GiB / 1.952GiB	60.95%	181.05%
Dec 15 17:19:13 	1.188GiB / 1.952GiB	60.84%	216.14%
Dec 15 17:19:15 	1.187GiB / 1.952GiB	60.82%	189.78%
Dec 15 17:19:17 	1.187GiB / 1.952GiB	60.84%	218.55%
Dec 15 17:19:19 	1.174GiB / 1.952GiB	60.14%	179.40%
Dec 15 17:19:21 	1.174GiB / 1.952GiB	60.17%	182.48%
Dec 15 17:19:23 	1.172GiB / 1.952GiB	60.07%	40.76%
Dec 15 17:19:26 	1.198GiB / 1.952GiB	61.38%	205.95%
Dec 15 17:19:28 	1.176GiB / 1.952GiB	60.23%	163.86%
