Dec 15 16:56:22 	103.4MiB / 1.952GiB	5.17%	80.73%
Dec 15 16:56:24 	103.4MiB / 1.952GiB	5.17%	90.08%
Dec 15 16:56:26 	102.9MiB / 1.952GiB	5.15%	78.59%
Dec 15 16:56:28 	103.5MiB / 1.952GiB	5.18%	1.14%
Dec 15 16:56:30 	102.3MiB / 1.952GiB	5.12%	90.19%
Dec 15 16:56:32 	102.3MiB / 1.952GiB	5.12%	85.16%
Dec 15 16:56:34 	101.8MiB / 1.952GiB	5.09%	86.52%
Dec 15 16:56:36 	101.3MiB / 1.952GiB	5.07%	89.00%
Dec 15 16:56:38 	101.2MiB / 1.952GiB	5.07%	67.60%
Dec 15 16:56:41 	101.2MiB / 1.952GiB	5.07%	81.84%
Dec 15 16:56:43 	100.7MiB / 1.952GiB	5.04%	92.21%
Dec 15 16:56:45 	101.6MiB / 1.952GiB	5.08%	1.19%
Dec 15 16:56:47 	101.1MiB / 1.952GiB	5.06%	18.50%
Dec 15 16:56:49 	99.88MiB / 1.952GiB	5.00%	33.62%
Dec 15 16:56:51 	99.88MiB / 1.952GiB	5.00%	60.80%
Dec 15 16:56:53 	99.27MiB / 1.952GiB	4.97%	69.80%
Dec 15 16:56:55 	98.71MiB / 1.952GiB	4.94%	78.33%
Dec 15 16:56:57 	98.21MiB / 1.952GiB	4.91%	78.01%
Dec 15 16:57:00 	97.69MiB / 1.952GiB	4.89%	83.89%
Dec 15 16:57:02 	97.69MiB / 1.952GiB	4.89%	78.70%
Dec 15 16:57:04 	97.18MiB / 1.952GiB	4.86%	75.23%
Dec 15 16:57:06 	98.02MiB / 1.952GiB	4.90%	26.89%
Dec 15 16:57:08 	97.91MiB / 1.952GiB	4.90%	34.00%
Dec 15 16:57:10 	97.8MiB / 1.952GiB	4.89%	67.19%
Dec 15 16:57:12 	97.68MiB / 1.952GiB	4.89%	68.69%
Dec 15 16:57:14 	96.68MiB / 1.952GiB	4.84%	59.29%
Dec 15 16:57:16 	96.81MiB / 1.952GiB	4.84%	74.37%
Dec 15 16:57:19 	95.68MiB / 1.952GiB	4.79%	70.70%
Dec 15 16:57:21 	95.67MiB / 1.952GiB	4.79%	72.29%
Dec 15 16:57:23 	95.17MiB / 1.952GiB	4.76%	76.27%
Dec 15 16:57:25 	95.17MiB / 1.952GiB	4.76%	67.67%
Dec 15 16:57:27 	95.99MiB / 1.952GiB	4.80%	23.51%
Dec 15 16:57:29 	95.29MiB / 1.952GiB	4.77%	31.74%
Dec 15 16:57:31 	95.24MiB / 1.952GiB	4.76%	73.99%
Dec 15 16:57:33 	95.24MiB / 1.952GiB	4.77%	79.40%
Dec 15 16:57:35 	95.24MiB / 1.952GiB	4.77%	69.58%
Dec 15 16:57:38 	95.21MiB / 1.952GiB	4.76%	75.73%
Dec 15 16:57:40 	95.34MiB / 1.952GiB	4.77%	62.38%
Dec 15 16:57:42 	95.34MiB / 1.952GiB	4.77%	75.82%
Dec 15 16:57:44 	95.21MiB / 1.952GiB	4.76%	74.11%
Dec 15 16:57:46 	96.03MiB / 1.952GiB	4.80%	19.37%
Dec 15 16:57:48 	95.34MiB / 1.952GiB	4.77%	38.70%
Dec 15 16:57:50 	95.34MiB / 1.952GiB	4.77%	82.41%
Dec 15 16:57:52 	95.34MiB / 1.952GiB	4.77%	82.21%
Dec 15 16:57:54 	95.19MiB / 1.952GiB	4.76%	65.93%
Dec 15 16:57:57 	95.19MiB / 1.952GiB	4.76%	80.55%
Dec 15 16:57:59 	95.18MiB / 1.952GiB	4.76%	86.96%
Dec 15 16:58:01 	95.18MiB / 1.952GiB	4.76%	74.81%
Dec 15 16:58:03 	95.18MiB / 1.952GiB	4.76%	80.61%
Dec 15 16:58:05 	95.8MiB / 1.952GiB	4.79%	0.97%
Dec 15 16:58:07 	95.87MiB / 1.952GiB	4.80%	1.87%
Dec 15 16:58:09 	95.21MiB / 1.952GiB	4.76%	53.37%
Dec 15 16:58:11 	95.17MiB / 1.952GiB	4.76%	78.84%
Dec 15 16:58:13 	95.17MiB / 1.952GiB	4.76%	77.80%
Dec 15 16:58:15 	95.13MiB / 1.952GiB	4.76%	79.74%
Dec 15 16:58:17 	95.13MiB / 1.952GiB	4.76%	79.20%
Dec 15 16:58:20 	95.13MiB / 1.952GiB	4.76%	73.57%
Dec 15 16:58:22 	94.76MiB / 1.952GiB	4.74%	73.46%
Dec 15 16:58:24 	95.47MiB / 1.952GiB	4.78%	7.25%
Dec 15 16:58:26 	94.82MiB / 1.952GiB	4.74%	54.06%
Dec 15 16:58:28 	94.82MiB / 1.952GiB	4.74%	74.95%
Dec 15 16:58:30 	94.82MiB / 1.952GiB	4.74%	75.32%
Dec 15 16:58:32 	94.67MiB / 1.952GiB	4.74%	73.26%
Dec 15 16:58:34 	94.67MiB / 1.952GiB	4.74%	67.98%
Dec 15 16:58:36 	94.64MiB / 1.952GiB	4.73%	67.96%
Dec 15 16:58:38 	94.64MiB / 1.952GiB	4.73%	66.14%
Dec 15 16:58:41 	94.64MiB / 1.952GiB	4.74%	69.23%
Dec 15 16:58:43 	95.51MiB / 1.952GiB	4.78%	61.03%
Dec 15 16:58:45 	94.63MiB / 1.952GiB	4.73%	1.58%
Dec 15 16:58:47 	94.8MiB / 1.952GiB	4.74%	76.61%
Dec 15 16:58:49 	94.9MiB / 1.952GiB	4.75%	79.24%
Dec 15 16:58:51 	94.82MiB / 1.952GiB	4.74%	83.32%
Dec 15 16:58:53 	94.82MiB / 1.952GiB	4.74%	78.96%
Dec 15 16:58:55 	94.8MiB / 1.952GiB	4.74%	68.89%
Dec 15 16:58:57 	94.8MiB / 1.952GiB	4.74%	84.88%
Dec 15 16:58:59 	94.8MiB / 1.952GiB	4.74%	86.10%
Dec 15 16:59:02 	94.8MiB / 1.952GiB	4.74%	75.93%
Dec 15 16:59:04 	95.45MiB / 1.952GiB	4.78%	0.90%
Dec 15 16:59:06 	94.78MiB / 1.952GiB	4.74%	70.11%
Dec 15 16:59:08 	94.9MiB / 1.952GiB	4.75%	81.15%
Dec 15 16:59:10 	94.74MiB / 1.952GiB	4.74%	76.36%
Dec 15 16:59:12 	94.74MiB / 1.952GiB	4.74%	90.05%
Dec 15 16:59:14 	94.24MiB / 1.952GiB	4.71%	92.52%
Dec 15 16:59:16 	94.23MiB / 1.952GiB	4.71%	74.05%
