Dec 15 17:18:22 	1.617MiB / 1.952GiB	0.08%	0.24%
Dec 15 17:18:24 	1.676MiB / 1.952GiB	0.08%	0.26%
Dec 15 17:18:26 	1.699MiB / 1.952GiB	0.09%	0.22%
Dec 15 17:18:28 	2.051MiB / 1.952GiB	0.10%	0.56%
Dec 15 17:18:31 	2.062MiB / 1.952GiB	0.10%	0.52%
Dec 15 17:18:33 	1.871MiB / 1.952GiB	0.09%	0.47%
Dec 15 17:18:35 	2.059MiB / 1.952GiB	0.10%	0.26%
Dec 15 17:18:37 	1.852MiB / 1.952GiB	0.09%	0.28%
Dec 15 17:18:39 	38.87MiB / 1.952GiB	1.94%	152.14%
Dec 15 17:18:41 	73.86MiB / 1.952GiB	3.70%	121.28%
Dec 15 17:18:43 	78.86MiB / 1.952GiB	3.95%	26.41%
Dec 15 17:18:45 	84.3MiB / 1.952GiB	4.22%	66.74%
Dec 15 17:18:47 	89.39MiB / 1.952GiB	4.47%	60.40%
Dec 15 17:18:50 	97.48MiB / 1.952GiB	4.88%	65.44%
Dec 15 17:18:52 	113.5MiB / 1.952GiB	5.68%	59.77%
Dec 15 17:18:54 	108MiB / 1.952GiB	5.40%	49.40%
Dec 15 17:18:56 	111.4MiB / 1.952GiB	5.57%	67.81%
Dec 15 17:18:58 	109.2MiB / 1.952GiB	5.46%	56.85%
Dec 15 17:19:00 	109.3MiB / 1.952GiB	5.47%	71.60%
Dec 15 17:19:02 	109.5MiB / 1.952GiB	5.48%	69.91%
Dec 15 17:19:04 	122.1MiB / 1.952GiB	6.11%	73.86%
Dec 15 17:19:06 	122MiB / 1.952GiB	6.11%	55.56%
Dec 15 17:19:09 	122.2MiB / 1.952GiB	6.11%	65.53%
Dec 15 17:19:11 	122.1MiB / 1.952GiB	6.11%	64.71%
Dec 15 17:19:13 	123.8MiB / 1.952GiB	6.19%	60.85%
Dec 15 17:19:15 	123.9MiB / 1.952GiB	6.20%	70.08%
Dec 15 17:19:17 	124.6MiB / 1.952GiB	6.23%	79.17%
Dec 15 17:19:19 	133.7MiB / 1.952GiB	6.69%	75.00%
Dec 15 17:19:21 	132.9MiB / 1.952GiB	6.65%	80.67%
Dec 15 17:19:23 	133.8MiB / 1.952GiB	6.69%	24.84%
Dec 15 17:19:25 	139.1MiB / 1.952GiB	6.96%	85.54%
Dec 15 17:19:28 	135.7MiB / 1.952GiB	6.79%	60.58%
Dec 15 17:19:30 	138MiB / 1.952GiB	6.91%	60.20%
Dec 15 17:19:32 	138.8MiB / 1.952GiB	6.94%	65.68%
Dec 15 17:19:34 	136MiB / 1.952GiB	6.81%	64.26%
Dec 15 17:19:36 	136.1MiB / 1.952GiB	6.81%	52.67%
Dec 15 17:19:38 	134.9MiB / 1.952GiB	6.75%	73.56%
Dec 15 17:19:40 	140.6MiB / 1.952GiB	7.03%	71.18%
Dec 15 17:19:42 	142.2MiB / 1.952GiB	7.12%	72.90%
Dec 15 17:19:44 	141.7MiB / 1.952GiB	7.09%	60.79%
Dec 15 17:19:46 	141.7MiB / 1.952GiB	7.09%	70.77%
Dec 15 17:19:49 	143.3MiB / 1.952GiB	7.17%	78.64%
Dec 15 17:19:51 	143.2MiB / 1.952GiB	7.16%	80.33%
Dec 15 17:19:53 	143.2MiB / 1.952GiB	7.16%	71.93%
Dec 15 17:19:55 	143.2MiB / 1.952GiB	7.16%	65.57%
Dec 15 17:19:57 	142.1MiB / 1.952GiB	7.11%	65.95%
Dec 15 17:19:59 	142.1MiB / 1.952GiB	7.11%	76.74%
Dec 15 17:20:01 	142.9MiB / 1.952GiB	7.15%	54.62%
Dec 15 17:20:03 	141.8MiB / 1.952GiB	7.09%	7.13%
Dec 15 17:20:05 	141.8MiB / 1.952GiB	7.10%	54.22%
Dec 15 17:20:07 	139.4MiB / 1.952GiB	6.98%	71.05%
Dec 15 17:20:10 	139.7MiB / 1.952GiB	6.99%	64.15%
Dec 15 17:20:12 	140.5MiB / 1.952GiB	7.03%	69.02%
Dec 15 17:20:14 	138.9MiB / 1.952GiB	6.95%	76.05%
Dec 15 17:20:16 	138.9MiB / 1.952GiB	6.95%	63.45%
Dec 15 17:20:18 	138.9MiB / 1.952GiB	6.95%	64.72%
Dec 15 17:20:20 	138.9MiB / 1.952GiB	6.95%	66.92%
Dec 15 17:20:22 	135.9MiB / 1.952GiB	6.80%	61.68%
Dec 15 17:20:24 	135.9MiB / 1.952GiB	6.80%	75.45%
Dec 15 17:20:26 	135.9MiB / 1.952GiB	6.80%	73.34%
Dec 15 17:20:28 	135.9MiB / 1.952GiB	6.80%	66.26%
Dec 15 17:20:31 	134.4MiB / 1.952GiB	6.73%	75.50%
Dec 15 17:20:33 	134.4MiB / 1.952GiB	6.73%	79.84%
Dec 15 17:20:35 	135.4MiB / 1.952GiB	6.77%	0.95%
Dec 15 17:20:37 	131.4MiB / 1.952GiB	6.57%	63.88%
Dec 15 17:20:39 	131.2MiB / 1.952GiB	6.57%	81.61%
Dec 15 17:20:41 	131.4MiB / 1.952GiB	6.57%	80.37%
Dec 15 17:20:43 	131.1MiB / 1.952GiB	6.56%	80.17%
Dec 15 17:20:45 	131.1MiB / 1.952GiB	6.56%	83.39%
Dec 15 17:20:47 	130.2MiB / 1.952GiB	6.51%	92.04%
Dec 15 17:20:50 	130.1MiB / 1.952GiB	6.51%	80.20%
Dec 15 17:20:52 	130.1MiB / 1.952GiB	6.51%	79.83%
Dec 15 17:20:54 	127.6MiB / 1.952GiB	6.38%	82.12%
Dec 15 17:20:56 	127.6MiB / 1.952GiB	6.38%	75.91%
Dec 15 17:20:58 	127.6MiB / 1.952GiB	6.38%	80.16%
Dec 15 17:21:00 	127.6MiB / 1.952GiB	6.38%	80.61%
Dec 15 17:21:02 	127.6MiB / 1.952GiB	6.38%	74.56%
Dec 15 17:21:04 	126.6MiB / 1.952GiB	6.33%	76.30%
Dec 15 17:21:06 	126.6MiB / 1.952GiB	6.33%	92.86%
Dec 15 17:21:09 	126.6MiB / 1.952GiB	6.33%	5.69%
Dec 15 17:21:11 	128MiB / 1.952GiB	6.40%	1.49%
Dec 15 17:21:13 	125.6MiB / 1.952GiB	6.28%	67.25%
Dec 15 17:21:15 	125.5MiB / 1.952GiB	6.28%	67.58%
Dec 15 17:21:17 	125.5MiB / 1.952GiB	6.28%	85.86%
Dec 15 17:21:19 	123.4MiB / 1.952GiB	6.18%	69.83%
