Dec 15 16:35:05 	1.185GiB / 1.952GiB	60.72%	44.89%
Dec 15 16:35:07 	1.185GiB / 1.952GiB	60.71%	4.41%
Dec 15 16:35:09 	1.179GiB / 1.952GiB	60.40%	170.81%
Dec 15 16:35:12 	1.179GiB / 1.952GiB	60.40%	4.54%
Dec 15 16:35:14 	1.179GiB / 1.952GiB	60.41%	201.08%
Dec 15 16:35:16 	1.179GiB / 1.952GiB	60.41%	181.38%
Dec 15 16:35:18 	1.179GiB / 1.952GiB	60.38%	5.02%
Dec 15 16:35:20 	1.18GiB / 1.952GiB	60.43%	203.06%
Dec 15 16:35:22 	1.18GiB / 1.952GiB	60.43%	40.17%
Dec 15 16:35:24 	1.18GiB / 1.952GiB	60.46%	99.73%
Dec 15 16:35:26 	1.18GiB / 1.952GiB	60.46%	208.32%
Dec 15 16:35:28 	1.179GiB / 1.952GiB	60.41%	4.75%
Dec 15 16:35:30 	1.185GiB / 1.952GiB	60.71%	10.82%
Dec 15 16:35:32 	1.201GiB / 1.952GiB	61.54%	267.88%
Dec 15 16:35:34 	1.184GiB / 1.952GiB	60.67%	181.84%
Dec 15 16:35:37 	1.184GiB / 1.952GiB	60.66%	4.80%
Dec 15 16:35:39 	1.181GiB / 1.952GiB	60.49%	179.96%
Dec 15 16:35:41 	1.189GiB / 1.952GiB	60.91%	203.36%
Dec 15 16:35:43 	1.18GiB / 1.952GiB	60.46%	5.40%
Dec 15 16:35:45 	1.18GiB / 1.952GiB	60.47%	193.71%
Dec 15 16:35:47 	1.183GiB / 1.952GiB	60.63%	78.08%
Dec 15 16:35:49 	1.185GiB / 1.952GiB	60.72%	69.48%
Dec 15 16:35:51 	1.185GiB / 1.952GiB	60.71%	210.91%
Dec 15 16:35:53 	1.179GiB / 1.952GiB	60.42%	5.08%
Dec 15 16:35:55 	1.181GiB / 1.952GiB	60.48%	4.80%
Dec 15 16:35:57 	1.181GiB / 1.952GiB	60.48%	166.41%
Dec 15 16:36:00 	1.18GiB / 1.952GiB	60.43%	4.99%
Dec 15 16:36:02 	1.184GiB / 1.952GiB	60.66%	154.43%
Dec 15 16:36:04 	1.18GiB / 1.952GiB	60.45%	181.88%
Dec 15 16:36:06 	1.18GiB / 1.952GiB	60.44%	4.81%
Dec 15 16:36:08 	1.18GiB / 1.952GiB	60.47%	181.04%
Dec 15 16:36:10 	1.18GiB / 1.952GiB	60.47%	196.54%
Dec 15 16:36:12 	1.18GiB / 1.952GiB	60.47%	4.42%
Dec 15 16:36:14 	1.18GiB / 1.952GiB	60.46%	201.19%
Dec 15 16:36:16 	1.18GiB / 1.952GiB	60.46%	20.60%
Dec 15 16:36:18 	1.18GiB / 1.952GiB	60.47%	19.88%
Dec 15 16:36:20 	1.18GiB / 1.952GiB	60.47%	70.57%
Dec 15 16:36:23 	1.18GiB / 1.952GiB	60.43%	43.61%
Dec 15 16:36:25 	1.182GiB / 1.952GiB	60.58%	108.28%
Dec 15 16:36:27 	1.183GiB / 1.952GiB	60.59%	198.02%
Dec 15 16:36:29 	1.18GiB / 1.952GiB	60.47%	4.44%
Dec 15 16:36:31 	1.18GiB / 1.952GiB	60.47%	189.31%
Dec 15 16:36:33 	1.18GiB / 1.952GiB	60.47%	171.03%
Dec 15 16:36:35 	1.18GiB / 1.952GiB	60.47%	5.17%
Dec 15 16:36:37 	1.181GiB / 1.952GiB	60.51%	182.99%
Dec 15 16:36:39 	1.18GiB / 1.952GiB	60.47%	40.62%
Dec 15 16:36:42 	1.181GiB / 1.952GiB	60.52%	13.08%
Dec 15 16:36:44 	1.183GiB / 1.952GiB	60.62%	91.87%
Dec 15 16:36:46 	1.196GiB / 1.952GiB	61.27%	120.82%
Dec 15 16:36:48 	1.183GiB / 1.952GiB	60.61%	79.51%
Dec 15 16:36:50 	1.194GiB / 1.952GiB	61.19%	147.15%
Dec 15 16:36:52 	1.195GiB / 1.952GiB	61.20%	61.02%
Dec 15 16:36:54 	1.186GiB / 1.952GiB	60.76%	107.91%
Dec 15 16:36:56 	1.186GiB / 1.952GiB	60.76%	100.77%
Dec 15 16:36:58 	1.183GiB / 1.952GiB	60.60%	54.85%
Dec 15 16:37:01 	1.184GiB / 1.952GiB	60.65%	27.14%
Dec 15 16:37:03 	1.184GiB / 1.952GiB	60.65%	104.35%
Dec 15 16:37:05 	1.183GiB / 1.952GiB	60.62%	101.60%
Dec 15 16:37:07 	1.187GiB / 1.952GiB	60.81%	67.04%
Dec 15 16:37:09 	1.187GiB / 1.952GiB	60.81%	113.14%
Dec 15 16:37:11 	1.185GiB / 1.952GiB	60.69%	89.45%
Dec 15 16:37:13 	1.185GiB / 1.952GiB	60.69%	49.86%
Dec 15 16:37:15 	1.19GiB / 1.952GiB	60.94%	37.95%
Dec 15 16:37:17 	1.189GiB / 1.952GiB	60.94%	112.56%
Dec 15 16:37:19 	1.187GiB / 1.952GiB	60.80%	107.98%
Dec 15 16:37:22 	1.187GiB / 1.952GiB	60.79%	63.89%
Dec 15 16:37:24 	1.187GiB / 1.952GiB	60.79%	112.46%
Dec 15 16:37:26 	1.185GiB / 1.952GiB	60.72%	12.01%
Dec 15 16:37:28 	1.185GiB / 1.952GiB	60.73%	113.60%
Dec 15 16:37:30 	1.188GiB / 1.952GiB	60.87%	22.27%
Dec 15 16:37:32 	1.19GiB / 1.952GiB	60.97%	4.30%
Dec 15 16:37:34 	1.185GiB / 1.952GiB	60.69%	198.68%
Dec 15 16:37:36 	1.185GiB / 1.952GiB	60.69%	4.88%
